center_to_line,line_in_sphere,line_in_cube
0.309734,0.785022,1.11499
0.0729385,0.989303,1.25201
0.491178,0.187021,0.471017
0.27409,0.83636,1.19667
0.527985,0,1.02128
0.217389,0.900538,1.14469
0.370962,0.670483,1.21588
0.504371,0,0.759363
0.579403,0,0.99945
0.165328,0.943751,1.33163
0.332043,0.747657,1.11436
0.373542,0.664729,1.16202
0.117022,0.972226,1.33599
0.426462,0.522034,1.02471
0.464725,0.368946,1.0173
0.406946,0.581015,0.949548
0.268953,0.843005,1.16219
0.576085,0,0.366565
0.36399,0.685599,1.1157
0.490868,0.190246,1.02084
0.367004,0.67914,0.945118
0.430592,0.508295,1.21552
0.200103,0.916425,1.01099
0.246515,0.870013,1.20383
0.433414,0.498607,0.792777
0.433837,0.497133,0.963618
0.5025,0,0.904715
0.533545,0,0.620734
0.375229,0.660918,1.19277
0.303149,0.795237,1.03794
0.472056,0.329624,0.591476
0.279613,0.829016,1.10998
0.716711,0,0.365504
0.403179,0.591429,1.04194
0.222524,0.895507,1.04458
0.457568,0.403143,1.0077
0.53491,0,1.03297
0.352083,0.710036,1.06794
0.0969021,0.98104,1.31222
0.0991963,0.980123,1.02032
0.568537,0,0.443038
0.187114,0.927337,1.06649
0.276829,0.832745,0.957229
0.51829,0,0.728925
0.507167,0,0.380023
0.368754,0.675338,0.809101
0.267997,0.844222,1.06388
0.274964,0.835212,1.07065
0.228858,0.889099,1.21733
0.541765,0,0.767505
0.642555,0,0.254967
0.52042,0,0.649248
0.31791,0.771837,0.923126
0.242871,0.874103,1.22448
0.0862099,0.985024,1.13608
0.605694,0,0.782279
0.185193,0.928878,1.02963
0.45769,0.402592,1.02662
0.556259,0,0.621515
0.486312,0.232386,0.600847
0.175969,0.936023,1.2126
0.411141,0.569079,0.980301
0.440731,0.472253,0.878419
0.0709859,0.989871,1.04287
0.138937,0.960618,1.21745
0.279963,0.828543,1.30385
0.496481,0.118435,0.848217
0.51503,0,0.820113
0.464022,0.372473,0.709036
0.23668,0.880869,1.22929
0.491355,0.185155,0.639347
0.381314,0.646836,0.765697
0.330661,0.750102,1.28226
0.41555,0.556124,1.01019
0.547427,0,0.90961
0.111028,0.975034,1.21233
0.179734,0.933157,1.25024
0.372984,0.665981,1.06177
0.604498,0,0.625292
0.139863,0.96008,1.20608
0.167092,0.942508,1.23726
0.491231,0.186459,0.703357
0.320201,0.768041,1.03361
0.0548271,0.99397,1.36675
0.0890924,0.983997,1.55375
0.429126,0.513229,0.953628
0.451304,0.430463,0.805601
0.221704,0.89632,1.18292
0.348623,0.716832,1.03977
0.239689,0.877609,1.23772
0.175202,0.936599,1.20751
0.126322,0.967559,1.00757
0.258656,0.855797,1.19862
0.347366,0.719269,1.06295
0.0899992,0.983667,1.3536
0.454886,0.415109,1.03774
0.42651,0.521879,0.85088
0.452822,0.424041,0.603337
0.422091,0.536056,0.823265
0.352474,0.709258,1.03144
0.452557,0.425168,1.01715
0.603454,0,1.00517
0.218639,0.899326,1.19992
0.524149,0,0.753139
0.445201,0.455175,0.777288
0.285686,0.820692,1.24233
0.272634,0.838262,1.0773
0.358012,0.698076,1.01036
0.453491,0.421169,0.593567
0.409322,0.574303,1.02227
0.25691,0.857897,1.24626
0.483263,0.256568,0.948857
0.176941,0.93529,1.00487
0.583446,0,0.37463
0.275123,0.835002,1.08907
0.323315,0.762803,1.1664
0.335336,0.741753,1.01797
0.104942,0.977726,1.2487
0.513871,0,0.558507
0.205975,0.911207,1.1443
0.0946609,0.981915,1.14675
0.533084,0,0.748427
0.181195,0.932026,1.10044
0.352296,0.709613,1.04154
0.379197,0.651795,0.862244
0.275606,0.834365,1.02195
0.437001,0.485921,0.748301
0.232956,0.884831,1.31215
0.378087,0.65437,1.02388
0.0713161,0.989776,1.17389
0.183497,0.930223,1.30043
0.131588,0.964748,1.30875
0.135888,0.96236,1.2605
0.127404,0.966992,1.18773
0.245817,0.870802,1.06846
0.223195,0.894838,1.06742
0.202568,0.914257,1.18335
0.19021,0.924814,1.16195
0.274534,0.835777,1.12643
0.349972,0.714198,1.1696
0.504584,0,0.866711
0.324172,0.761347,0.894074
0.150862,0.953396,1.18697
0.379978,0.649975,1.01352
0.255109,0.860046,1.15391
0.440494,0.47314,0.815979
0.250779,0.865125,1.00512
0.343225,0.727178,1.10464
0.353905,0.706402,0.91053
0.585409,0,0.531457
0.110495,0.975276,1.24835
0.450522,0.43373,1.03021
0.156705,0.949618,1.04605
0.14821,0.955058,1.28916
0.29386,0.809065,1.02155
0.205688,0.911466,1.16244
0.110547,0.975253,1.21179
0.34172,0.730006,0.835716
0.3855,0.636834,1.06946
0.659207,0,0.925314
0.219462,0.898525,1.06679
0.27312,0.837628,0.96148
0.255789,0.859237,1.14601
0.0921976,0.982852,1.20599
0.391387,0.622307,1.03025
0.45969,0.393371,1.16658
0.394137,0.615325,1.01908
0.178894,0.933803,1.22614
0.509208,0,0.435965
0.271617,0.839581,1.00157
0.0326238,0.997869,1.42554
0.509607,0,0.465822
0.0762964,0.988289,1.05838
0.51265,0,0.608494
0.603346,0,0.736426
0.511986,0,0.525346
0.163847,0.944784,1.0416
0.387011,0.633159,1.05123
0.252774,0.862799,1.06832
0.340091,0.733043,1.07147
0.160877,0.946823,1.02668
0.666184,0,0.126396
0.164368,0.944422,1.20924
0.696474,0,0.672593
0.248478,0.867776,1.35175
0.215139,0.902697,1.28055
0.242737,0.874251,1.10451
0.0917994,0.983001,1.35817
0.523523,0,1.04153
0.1676,0.942147,1.13865
0.366165,0.68095,0.949411
0.440852,0.471803,1.01575
0.311497,0.782226,1.02766
0.337893,0.737098,1.17251
0.149977,0.953954,1.32819
0.579858,0,0.435003
0.135505,0.962576,1.208
0.414619,0.558895,1.01292
0.480566,0.276087,0.665304
0.148789,0.954697,1.13128
0.40765,0.57904,0.922759
